AX,AY,AZ
-506.854,-494.576,18288.358
-466.07,-565.204,18285.962
-788.81,-134.996,18267.696
-769.722,12015.542,10411.3
-3213.95,13765.064,9801.674
-7020.856,11993.234,9920.73
-6443.488,12794.788,9307.356
-806.392,15673.096,4784.266
-4165.316,15447.162,3464.456
-9834.462,11674.658,5803.038
-14892.374,1683.056,3926.368
-11585.062,11052.42,1337.618
-10696.472,11938.194,1332.972
-11561.892,10896.074,3371.12
-12626.12,9534.694,3914.738
-13727.028,7863.074,3574.846
-14152.526,6842.358,4294.56
-14774.126,5632.172,3337.376
-15183.628,4117.602,3931.94
-15352.34,3155.678,4363.35
-15403.376,-2345.87,3483.552
-15340.172,-4061.796,2550.882
-14604.89,-6213.012,2327.128
-13402.024,-8588.016,1849.21
-14073.858,-7404.76,1381.162
-13695.954,-8123.4,1314.456
-12507.88,-9891.39,1496.826
-10808.656,-11785.75,1433.838
-6310.852,-14679.572,2300.068
-7770.14,-14008.838,2850.826
-4860.13,-15327.09,2491.06
-3274.514,-15890.556,2533.862
467.326,-16241.496,2667.936
1282.016,-16328.026,1450.126
3318.63,-16002.732,3132.8
4881.19,-15647.068,3601.902
5983.314,-15312.218,3513.408
7124.872,-14909.218,2978.952
8287.858,-14349.178,2911.6
9961.634,-13288.064,3014.672
11994.926,-11222.91,3532.014
12672.364,-10769.848,3791.192
13874.674,-9260.63,3745.3
15032.822,-7425.68,3184.564
15701.93,-5753.91,3921.39
16499.79,-3162.622,3216.326
16845.006,-165.068,2762.484
16734.924,1945.514,3070.714
16624.82,3013.084,2003.25
16265.116,4462.682,1065.602
15998.388,5386.566,1309.576
15516.94,6614.834,1923.108
15071.242,7544.344,2035.592
14464.172,8605.834,2112.488
13342.67,10183.49,1802.858
14266.862,8830.502,2751.61
14034.878,9164.312,3238.542
12799.648,10733.274,3235.77
11108.054,12401.07,3210.962
8874.0,13926.994,3729.256
6420.882,15048.546,4282.988
4571.38,15698.488,4092.682
1742.96,16231.944,3149.56
699.44,16368.138,2355.796
-89.396,295.666,18301.274
-135.096,-1186.908,18233.466
-101.002,-2112.74,18154.672
-119.238,-2908.536,18025.342
-36.438,-3811.43,17829.238
82.37,-3953.284,17803.118
100.47,-4851.13,17543.016
123.884,-5586.664,17296.838
-67.474,-7233.882,16548.862
104.404,-8841.984,15633.954
218.15,-10611.294,14273.36
-4.74,-12087.582,12810.766
54.842,-14040.076,10030.454
243.344,-15093.32,7964.228
430.246,-15705.536,6202.604
466.776,-16078.45,4548.98
565.146,-16271.382,3006.41
619.056,-16327.276,1929.84
509.92,-16201.404,-143.414
393.386,-15992.428,-1601.652
123.172,-15463.762,-3536.862
37.452,-14821.354,-5197.382
894.868,-13799.196,-7084.536
1022.16,-12886.308,-8443.582
1160.354,-11499.99,-9962.984
747.186,-9994.7,-11340.558
135.086,-8733.384,-12249.332
24.356,-7747.448,-12835.174
961.756,-6273.392,-13530.564
753.386,-4211.702,-14244.792
-1176.33,-2785.952,-14464.62
1242.356,89.844,-14706.014
1261.902,-30.488,-14806.91
1172.264,1146.872,-14779.794
838.852,2124.52,-14689.254
1036.316,2443.062,-14650.63
-48.042,3611.26,-14406.714
608.4,4115.068,-14304.054
1369.63,4743.826,-14102.972
930.018,7091.534,-13154.414
1007.874,8938.014,-12125.5
952.096,11465.458,-10008.974
1101.422,13268.174,-7944.178
1128.536,14164.896,-6615.122
1057.892,15121.236,-4604.232
1223.62,15644.902,-3167.614
1196.406,15945.06,-2022.564
1095.442,16229.234,-425.024
833.62,16377.95,1115.748
761.382,16401.106,1933.664
904.988,13467.862,-6561.966
1123.39,11427.142,-10076.424
905.77,10319.474,-11105.366
952.808,9753.814,-11559.138
979.184,12048.692,-9351.79
1109.796,13758.956,-7199.606
668.48,15944.588,854.81
551.894,16182.22,4341.696
510.968,16226.936,4179.598
424.068,15899.274,5767.164
403.478,15293.288,7737.272
372.634,14907.506,8694.802
349.278,14558.62,9418.07
268.606,13768.234,10794.652
230.69,13331.66,11435.938
179.99,12345.238,12677.446
187.674,11397.072,13694.318
148.614,10143.868,14788.656
122.344,8646.428,15850.008
121.942,7595.482,16464.816
179.644,7089.824,16723.174
92.524,6110.358,17148.056
226.638,4714.404,17639.914
321.058,3843.362,17891.872
370.85,2961.038,18075.5
292.398,2248.14,18184.714
213.726,713.102,18309.198
2343.418,456.964,18202.252
4181.332,409.694,17926.892
5371.904,350.6,17595.51
5280.086,333.65,17639.574
6726.474,337.254,17104.578
6692.598,347.078,17140.032
3107.616,468.15,18040.78
8041.784,344.352,16197.332
11802.172,190.824,13738.524
13383.438,147.806,12072.206
14821.58,95.198,9866.93
15594.424,56.768,8338.708
16051.7,36.844,7144.1
16592.748,-2.13,5006.148
16887.672,-33.55,2470.234
16919.99,-59.058,1348.988
16805.232,-73.594,-133.582
16515.944,-107.068,-1839.954
15916.072,-228.068,-3857.534
15196.618,-239.086,-5587.086
14173.77,-281.214,-7371.068
12898.846,-311.62,-9074.922
11528.408,-320.874,-10496.716
9283.266,-349.724,-12201.238
7688.444,-330.412,-13130.638
6208.634,-318.458,-13770.494
4163.444,-294.432,-14383.572
2400.888,-439.36,-14696.424
1760.442,-400.228,-14782.724
15.066,-194.622,-14810.078
-1502.15,-2.976,-14728.252
-3028.878,-65.032,-14472.308
-4212.04,-320.246,-14164.196
-5457.812,-87.336,-13732.332
-7853.834,-100.884,-12504.684
-7773.546,-97.022,-12605.83
-9014.054,-103.82,-11767.784
-10678.334,-114.402,-10368.878
-12193.408,-107.332,-8730.238
-13444.61,-42.21,-6938.932
-14354.268,-37.436,-5236.49
-14994.314,-54.098,-3641.474
-15436.92,-107.764,-2073.9
-15652.35,-128.956,-1052.698
-15850.91,-144.51,1243.08
-15730.648,-312.146,3736.072
-15441.234,-345.71,5461.718
-15097.46,-351.756,6728.574
-14625.52,-354.73,8031.374
-13993.728,-360.538,9391.926
-13064.372,-362.708,10968.394
-12004.298,-366.522,12390.636
-10918.94,-369.094,13574.106
-9982.5,-369.01,14433.934
-8437.456,-200.208,15584.462
-7101.78,-207.722,16390.406
-5636.29,-186.666,17074.844
-3488.76,-165.57,17776.97
-807.976,-130.026,18229.95
-2381.258,-74.936,18020.61
